CNPJ_CIA;DENOM_CIA;TICKER
00.001.180/0001-26;CENTRAIS ELET BRAS SA - ELETROBRAS;ELET3.SA
00.070.698/0001-11;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;CEBR3.SA
00.080.671/0001-00;CARAMURU ALIMENTOS SA;NAO_ENCONTRADO
00.194.724/0001-13;AUREN OPERAÇÕES SA;NAO_ENCONTRADO
00.336.701/0001-04;;NOME_AUSENTE
00.354.053/0001-00;;NOME_AUSENTE
00.359.742/0001-08;FICTOR ALIMENTOS SA;NAO_ENCONTRADO
00.389.481/0001-79;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO SA;NAO_ENCONTRADO
00.622.416/0001-41;STATKRAFT ENERGIAS RENOVAVEIS SA;NAO_ENCONTRADO
00.743.065/0001-27;;NOME_AUSENTE
00.776.574/0001-56;AMERICANAS SA;AMER3.SA
00.864.214/0001-06;ENERGISA SA;ENGI11.SA
00.924.429/0001-75;;NOME_AUSENTE
00.994.533/0001-36;;NOME_AUSENTE
01.027.058/0001-91;CIELO SA;CIEL3.SA
01.083.200/0001-18;NEOENERGIA SA;NEOE3.SA
01.107.327/0001-20;BBM LOGÍSTICA SA;BBML3.SA
01.545.826/0001-07;GAFISA SA;GFSA3.SA
01.599.101/0001-93;SEQUOIA LOGÍSTICA E TRANSPORTES SA;SEQL3.SA
01.608.571/0001-76;;NOME_AUSENTE
01.838.723/0001-27;BRF SA;BRFS3.SA
01.917.705/0001-30;;NOME_AUSENTE
01.917.818/0001-36;LIGHT ENERGIA SA;LIGT3.SA
01.938.783/0001-11;CIA PARTICIPACOES ALIANCA DA BAHIA;PEAB4.SA
01.957.772/0001-89;SUL 116 PARTICIPACOES SA;NAO_ENCONTRADO
01.968.293/0001-68;ELETRORIVER SA;NAO_ENCONTRADO
01.971.614/0001-83;;NOME_AUSENTE
02.105.040/0001-23;;NOME_AUSENTE
02.107.946/0001-87;;NOME_AUSENTE
02.149.205/0001-69;PORTO SEGURO SA;PSSA3.SA
02.193.750/0001-52;DEXXOS PARTICIPAÇÕES SA;DEXP3.SA
02.201.787/0001-85;CEL PARTICIPAÇÕES SA - CELPAR;NAO_ENCONTRADO
02.255.187/0001-08;UNIFIQUE TELECOMUNICAÇÕES SA;FIQE3.SA
02.258.422/0001-97;INEPAR EQUIPAMENTOS E MONTAGENS S/A;INEP4.SA
02.286.479/0001-08;LOCALIZA FLEET SA;NAO_ENCONTRADO
02.291.077/0001-93;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;NAO_ENCONTRADO
02.302.101/0001-42;EMAE - EMPRESA METROP.AGUAS ENERGIA SA;EMAE4.SA
